alt_identifier,ImageNumber,B cell,CD4 T cell,CD8 T cell,Epithelial/Tumor,Macrophages,NK-cells,P53+ Tumor,Proliferative Immune,Proliferative Tumor,Stromal,tumour_purity
CR059,20,0.010127931769722815,0.006929637526652452,0.0026652452025586353,0.31156716417910446,0.03491471215351812,0.027452025586353946,0.02638592750533049,0.012260127931769723,0.19536247334754797,0.3723347547974414,0.533315565031983
CR059,21,0.01611047180667434,0.05322209436133487,0.04746835443037975,0.05552359033371691,0.03682393555811277,0.536536248561565,2.8768699654775604e-4,0.005178365937859608,0,0.24884925201380897,0.05581127733026467
CR059,22,0.029415509996179805,0.06672609193938622,0.2528969820450783,0.2234814720488985,0.07971475869094613,0.09970711829873934,0.005984973895326626,0.023685215841079844,0.0701642684324462,0.148223608811919,0.2996307143766713
CR060,48,0.02916572462129776,0.06635767578566584,0.13090662446303414,0.11971512548044314,0.16685507574044767,0.2356997513000226,0.004295726882206647,0.021817770743839022,0.03300926972643003,0.19217725525661317,0.1570201220890798
CR060,49,0.06157965194109773,0.11033020972780008,0.17737617135207498,0.06726907630522089,0.10921463632307006,0.2532351628737171,0.0039045069165551094,0.03469433288710397,0.059571619812583666,0.12282463186077644,0.13074520303435966
CR060,50,0.06550618415025194,0.03389830508474576,0.020613834173156206,0.13879981676591846,0.03847915712322492,0.012368300503893724,0.0022904260192395786,4.580852038479157e-4,0.00641319285387082,0.6811726981218507,0.14750343563902885
CR060,51,0.03858695652173913,0.025543478260869567,0.02391304347826087,0.15815217391304348,0.021739130434782608,0.010326086956521738,0.002717391304347826,0,0.0016304347826086956,0.717391304347826,0.1625
CR060,52,0.06646525679758308,0.059415911379657606,0.028197381671701913,0.30614300100704933,0.07955689828801611,0.08358509566968782,0.005035246727089627,0.007049345417925478,0.10372608257804633,0.2608257804632427,0.41490433031218527
CR067,53,0.006501083513918987,0.024837472912152027,0.015169194865810968,0.40006667777962995,0.039673278879813305,0.012835472578763127,0.027171195199199867,0.007667944657442907,0.09151525254209035,0.37456242707117854,0.5187531255209201
CR067,54,0.012137823022709476,0.03484729835552075,0.02682067345340642,0.3768598277212216,0.04267815191855912,0.011550509005481598,0.024079874706342992,0.006851996867658575,0.07478465152701644,0.389389193422083,0.475724353954581
CR067,55,0.007107709130672498,0.05667942409331146,0.029159832330964097,0.48441771459814104,0.015855658829961726,0.00455622380171314,0.02861308547475852,0.006743211226535447,0.08583925642427556,0.2810278840896665,0.5988700564971752
CR067,56,0.016843971631205674,0.003799392097264438,0.004305977710233029,0.11765450861195542,0.10802938196555217,0.49037487335359675,0.002786220871327254,1.2664640324214793e-4,0.004559270516717325,0.25151975683890576,0.125
CR077,1,0.00877963125548727,0.023529411764705882,0.15803336259877085,0.1977172958735733,0.05127304653204565,0.02177348551360843,0.0028094820017559264,0.023353819139596138,0.076558384547849,0.43617208077260755,0.27708516242317827
CR077,2,0.007124975929135375,0.02060466011939149,0.14654342383978433,0.23762757558251493,0.06393221644521471,0.011361448103215868,0.0030810706720585403,0.01097631426920855,0.07182746004236472,0.4269208549971115,0.3125361062969382
CR077,3,0.005786039640526899,0.01895851286470516,0.0450572448602733,0.06660100947925643,0.0323772005416718,0.00184660839591284,0.457712667733596,0.003200787886248923,0.2806844761787517,0.087775452419057,0.8049981533916041
CR079,57,0.007841254600736118,0.007841254600736118,0.005440870539286286,0.6817090734517522,0.014402304368698993,0.01872299567930869,0.005760921747479597,9.601536245799327e-4,0.14562329972795648,0.11169787165946551,0.8330932949271883
CR079,58,0.01138260737592958,0.016998027014721504,0.005615419638791926,0.6035817271209591,0.007436636818940658,0.018515707998178782,0.005918955835483381,0.0030353619669145544,0.15829412657459402,0.16922142965548642,0.7677948095310365
CR079,59,0.016694214876033057,0.008099173553719008,0.006446280991735537,0.6221487603305785,0.013884297520661157,0.018347107438016527,0.011570247933884297,0.002644628099173554,0.16082644628099174,0.1393388429752066,0.7945454545454546
CR080,131,0.01684341859014348,0.01653150343106675,0.037429819089207735,0.13069245165315035,0.11759201497192763,0.11041796631316282,0.026200873362445413,0.011540860885839051,0.008109794135995009,0.5246412975670618,0.16500311915159077
CR080,132,0.01867219917012448,0.02074688796680498,0.008298755186721992,0.22406639004149378,0.014522821576763486,0.026970954356846474,0.03112033195020747,0.008298755186721992,0.006224066390041493,0.6410788381742739,0.2614107883817427
