alt_identifier,File Name,k8_cn,B cell,CD8 T cell,Epithelial/Tumor,Macrophages,NK-cells,P53+ Tumor,Proliferative Immune,Proliferative Tumor,Stromal,CD4 T cell
CR124,9,Stromal,0.012110726643598616,0.005190311418685121,0.00865051903114187,0.03460207612456748,0.02249134948096886,0,0.010380622837370242,0,0.8027681660899654,0.10380622837370242
CR137,17,Bulk Tumor,0.0017368649587494573,0.0026052974381241857,0.8067737733391229,0.0060790273556231,0.02301346070343031,0.006947459834997829,0.006513243595310464,0.08467216673903603,0.057750759878419454,0.0039079461571862786
CR137,17,CD8+ T cell enriched,0.0962962962962963,0.4148148148148148,0.06666666666666667,0.08148148148148149,0.037037037037037035,0.007407407407407408,0.007407407407407408,0.014814814814814815,0.1111111111111111,0.16296296296296298
CR137,17,Immune-enriched stromal,0.0325801366263794,0.02469784550709406,0.09196006305832895,0.07409353652128219,0.026799789805570153,0.004729374671571204,0.048870204939569103,0.03678402522333158,0.5601681555438781,0.09931686810299527
CR137,17,Mixed Immune,0.08787878787878788,0.051515151515151514,0.024242424242424242,0.3,0.045454545454545456,0.006060606060606061,0.045454545454545456,0.00909090909090909,0.20909090909090908,0.22121212121212122
CR137,17,NK-cell enriched,0,0,0.28,0.02666666666666667,0.49333333333333335,0,0.05333333333333334,0.04,0.08,0.02666666666666667
CR137,17,Proliferative Tumor,0.0018535681186283596,0.0018535681186283596,0.2557924003707136,0.006487488415199258,0.020389249304911955,0.0027803521779425394,0.025949953660797033,0.6255792400370713,0.05560704355885079,0.0037071362372567192
CR137,17,Stromal,0.006535947712418301,0.008986928104575163,0.008169934640522876,0.04003267973856209,0.014705882352941176,0.0032679738562091504,0.02042483660130719,0.0024509803921568627,0.8570261437908496,0.03839869281045752
CR137,18,Bulk Tumor,0.004629629629629629,0.0026455026455026454,0.7764550264550265,0.008597883597883597,0.025793650793650792,0.00992063492063492,0.001984126984126984,0.03306878306878307,0.12962962962962962,0.007275132275132275
CR137,18,Immune-enriched stromal,0.0129366106080207,0.0038809831824062097,0.2445019404915912,0.0517464424320828,0.0129366106080207,0.009055627425614488,0.007761966364812419,0.02328589909443726,0.610608020698577,0.02328589909443726
CR137,18,Mixed Immune,0,0.041666666666666664,0,0.375,0.041666666666666664,0,0.041666666666666664,0.041666666666666664,0.3333333333333333,0.125
CR137,18,Proliferative Tumor,0,0,0.25,0,0.03571428571428571,0,0.07142857142857142,0.5714285714285714,0.07142857142857142,0
CR137,18,Stromal,0.00881488736532811,0.005876591576885406,0.03623898139079334,0.039177277179236046,0.00881488736532811,0.002938295788442703,0.0019588638589618022,9.794319294809011e-4,0.8775710088148874,0.01762977473065622
CR137,19,Bulk Tumor,0.004909983633387889,8.183306055646482e-4,0.7888707037643208,0.007774140752864157,0.027004909983633387,0.005319148936170213,0.0016366612111292963,0.04582651391162029,0.11211129296235679,0.0057283142389525366
CR137,19,CD8+ T cell enriched,0,1,0,0,0,0,0,0,0,0
CR137,19,Immune-enriched stromal,0.011764705882352941,0.004901960784313725,0.2107843137254902,0.059803921568627454,0.026470588235294117,0.004901960784313725,0.01568627450980392,0.013725490196078431,0.6254901960784314,0.026470588235294117
CR137,19,Mixed Immune,0,0,0,0.56,0.04,0,0.04,0,0.24,0.12
CR137,19,NK-cell enriched,0,0,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.1111111111111111,0,0,0.2222222222222222,0
CR137,19,Proliferative Tumor,0,0,0.3434343434343434,0.010101010101010102,0.010101010101010102,0.010101010101010102,0,0.5656565656565656,0.06060606060606061,0
CR137,19,Stromal,0.005932203389830509,0.005084745762711864,0.03728813559322034,0.020338983050847456,0.006779661016949152,0.005084745762711864,0.00423728813559322,0.001694915254237288,0.9,0.013559322033898305
CR139,143,Bulk Tumor,0.007052896725440806,0.024937027707808566,0.8012594458438287,0.013602015113350126,0.02947103274559194,0.022418136020151132,0.0017632241813602015,0.030730478589420653,0.04836272040302267,0.020403022670025188
CR139,143,CD8+ T cell enriched,0.027168234064785787,0.5835945663531871,0.03239289446185998,0.14576802507836992,0.024555903866248695,0.00522466039707419,0.009404388714733543,0.004702194357366771,0.07523510971786834,0.09195402298850575
CR139,143,Immune-enriched stromal,0.0546875,0.1015625,0.075,0.0671875,0.0375,0.009375,0.0125,0.009375,0.5140625,0.11875
CR139,143,Mixed Immune,0.04524361948955916,0.1357308584686775,0.03248259860788863,0.46403712296983757,0.05916473317865429,0.0069605568445475635,0.010440835266821345,0,0.09860788863109049,0.14733178654292342
CR139,143,NK-cell enriched,0.03,0.06,0.14,0.03,0.61,0.03,0,0.01,0.05,0.04
CR139,143,P53+ Tumor,0,0,0.2,0.2,0.4,0.2,0,0,0,0
CR139,143,Proliferative Tumor,0,0.0196078431372549,0.38235294117647056,0,0.00980392156862745,0.029411764705882353,0,0.49019607843137253,0.058823529411764705,0.00980392156862745
CR139,143,Stromal,0.011111111111111112,0.011111111111111112,0,0.011111111111111112,0.011111111111111112,0,0.011111111111111112,0,0.8666666666666667,0.07777777777777778
CR139,144,Bulk Tumor,0.009419743782969104,0.010550113036925395,0.7584777694046722,0.003391107761868877,0.011680482290881688,0.013187641296156745,0.0015071590052750565,0.0892991710625471,0.07724189902034664,0.025244913338357197
CR139,144,CD8+ T cell enriched,0.0582010582010582,0.42433862433862435,0.014814814814814815,0.06031746031746032,0.044444444444444446,0.005291005291005291,0.047619047619047616,0.008465608465608466,0.13862433862433862,0.19788359788359788
CR139,144,Immune-enriched stromal,0.0391025641025641,0.07243589743589744,0.09615384615384616,0.05512820512820513,0.0391025641025641,0.008333333333333333,0.03974358974358974,0.028846153846153848,0.4634615384615385,0.1576923076923077
CR139,144,Mixed Immune,0.09985734664764621,0.05420827389443652,0.024251069900142655,0.24536376604850213,0.042796005706134094,0.0028530670470756064,0.05420827389443652,0.007132667617689016,0.18830242510699002,0.2810271041369472
CR139,144,NK-cell enriched,0.11764705882352941,0.058823529411764705,0.0392156862745098,0.058823529411764705,0.37254901960784315,0.0196078431372549,0.0196078431372549,0,0.1568627450980392,0.1568627450980392
CR139,144,P53+ Tumor,0,0,0,0,0,0.5,0,0.25,0.25,0
