alt_identifier,k8_cn,B cell,CD4 T cell,CD8 T cell,Epithelial/Tumor,Macrophages,NK-cells,P53+ Tumor,Proliferative Immune,Proliferative Tumor,Stromal
CR038,NK-cell enriched,0.00641025641025641,0.038461538461538464,0.038461538461538464,0.05128205128205128,0.057692307692307696,0.5064102564102564,0.01282051282051282,0.02564102564102564,0.038461538461538464,0.22435897435897437
CR038,P53+ Tumor,0,0,0,0.3333333333333333,0,0,0.2777777777777778,0,0.2222222222222222,0.16666666666666666
CR038,Proliferative Tumor,0.005540467137425313,0.0017381857686040196,0.004997284084736557,0.312221618685497,0.0076045627376425855,0.014557305812058663,0.019880499728408475,0.010972297664312873,0.5921781640412819,0.03030961434003259
CR038,Stromal,0.011007338225483656,0.044029352901934625,0.01200800533689126,0.004002668445630421,0.03502334889926618,0.018345563709139426,0.003669112741827885,0.01000667111407605,6.6711140760507e-4,0.8612408272181454
CR041,Bulk Tumor,0.007846556233653008,0.007168458781362007,0.016080596725758015,0.7660563789596048,0.0035842293906810036,0.03865155478058704,0.014143175433498014,0.0027123898091640027,0.07594691465659208,0.06780974522910006
CR041,CD8+ T cell enriched,0.06806282722513089,0.193717277486911,0.4408376963350785,0.02931937172774869,0.04502617801047121,0.032460732984293195,0.008376963350785341,0.033507853403141365,0.004188481675392671,0.14450261780104712
CR041,Immune-enriched stromal,0.042569365260357275,0.09160015203344736,0.08665906499429875,0.14481185860889395,0.032307107563664006,0.03610794374762448,0.009882174078297225,0.02888635499809958,0.04218928164196123,0.4849866970733561
CR041,Mixed Immune,0.1027190332326284,0.2628398791540785,0.08157099697885196,0.03323262839879154,0.2084592145015106,0.05740181268882175,0.00906344410876133,0.06948640483383686,0.00906344410876133,0.1661631419939577
CR041,NK-cell enriched,0.014462809917355372,0.024793388429752067,0.02066115702479339,0.2768595041322314,0.01652892561983471,0.45454545454545453,0.02066115702479339,0.010330578512396695,0.09504132231404959,0.06611570247933884
CR041,P53+ Tumor,0,0,0,0.4,0,0.2,0.2,0,0.2,0
CR041,Proliferative Tumor,0.006932981181908221,0.001650709805216243,0.012215252558600198,0.2518983162759987,0.007923407065037967,0.06569825024760648,0.012875536480686695,0.0036315615714757345,0.5873225486959393,0.04985143611753054
CR041,Stromal,0.018957345971563982,0.03317535545023697,0.037914691943127965,0.061611374407582936,0.026066350710900472,0.014218009478672985,0.009478672985781991,0.004739336492890996,0.016587677725118485,0.7772511848341233
CR043,Bulk Tumor,0.009813084112149532,0.0032710280373831778,0.04018691588785047,0.7140186915887851,0.004672897196261682,0.05327102803738318,0.01822429906542056,9.345794392523365e-4,0.10373831775700934,0.05186915887850467
CR043,CD8+ T cell enriched,0.019202363367799114,0.047267355982274745,0.5228951255539144,0.09896602658788774,0.04431314623338257,0.09601181683899557,0.014771048744460856,0.004431314623338257,0.04283604135893648,0.10930576070901034
CR043,Immune-enriched stromal,0.0460431654676259,0.05755395683453238,0.11366906474820145,0.11942446043165468,0.04316546762589928,0.05611510791366906,0.02158273381294964,0.014388489208633094,0.02302158273381295,0.5050359712230216
CR043,Mixed Immune,0.018867924528301886,0.06289308176100629,0.0440251572327044,0.1069182389937107,0.44025157232704404,0.08176100628930817,0.012578616352201259,0.006289308176100629,0.018867924528301886,0.20754716981132076
CR043,NK-cell enriched,0.022792022792022793,0.008547008547008548,0.09686609686609686,0.21937321937321938,0.014245014245014245,0.41595441595441596,0.03418803418803419,0.005698005698005698,0.1168091168091168,0.06552706552706553
CR043,P53+ Tumor,0,0,0.3076923076923077,0.15384615384615385,0,0.23076923076923078,0.15384615384615385,0,0,0.15384615384615385
CR043,Proliferative Tumor,0.006033182503770739,0,0.06184012066365008,0.277526395173454,0.006033182503770739,0.09803921568627451,0.0196078431372549,0.0015082956259426848,0.4917043740573152,0.03770739064856712
CR043,Stromal,0.008547008547008548,0.03418803418803419,0.045584045584045586,0.008547008547008548,0.014245014245014245,0.008547008547008548,0.005698005698005698,0,0,0.8746438746438746
CR048,Bulk Tumor,0.010021922956467273,0.010648293141246476,0.03319761979329784,0.6814907610397745,0.060757907923582835,0.0829940494832446,0.01252740369558409,0.0018791105543376136,0.0557469464453492,0.050735984967115566
CR048,CD8+ T cell enriched,0,0.0379746835443038,0.43670886075949367,0.2088607594936709,0.06962025316455696,0.10126582278481013,0.006329113924050633,0.03164556962025317,0.0379746835443038,0.06962025316455696
CR048,Immune-enriched stromal,0.016268980477223426,0.021691973969631236,0.03796095444685466,0.1735357917570499,0.0911062906724512,0.11496746203904555,0.007592190889370932,0.010845986984815618,0.05422993492407809,0.4718004338394794
CR048,Mixed Immune,0.01888772298006296,0.04407135362014691,0.04197271773347324,0.155299055613851,0.43651626442812175,0.12172088142707241,0.007345225603357817,0.0062959076600209865,0.01993704092339979,0.14795383001049317
CR048,NK-cell enriched,0.016822429906542057,0.022429906542056073,0.03426791277258567,0.16573208722741434,0.09221183800623053,0.5258566978193147,0.00809968847352025,0.001869158878504673,0.01806853582554517,0.1146417445482866
CR048,P53+ Tumor,0,0,0,0.5,0,0,0.5,0,0,0
CR048,Proliferative Tumor,0.00882825040128411,0.011235955056179775,0.03451043338683788,0.2463884430176565,0.03451043338683788,0.07062600321027288,0.01043338683788122,0.011235955056179775,0.5184590690208668,0.05377207062600321
CR048,Stromal,0,0,0.01818181818181818,0.01818181818181818,0,0.05454545454545454,0,0.01818181818181818,0.01818181818181818,0.8727272727272727
CR051,Bulk Tumor,0.008620689655172414,0.0040024630541871924,0.07358374384236453,0.6770320197044335,0.00646551724137931,0.021551724137931036,0.017241379310344827,3.078817733990148e-4,0.11945812807881774,0.07173645320197045
CR051,CD8+ T cell enriched,0.02045209903121636,0.02906350914962325,0.48546824542518835,0.15392895586652314,0.03552206673842842,0.05166846071044134,0.0193756727664155,0.007534983853606028,0.077502691065662,0.11948331539289558
CR051,Immune-enriched stromal,0.030223880597014925,0.03582089552238806,0.07947761194029851,0.13171641791044778,0.059328358208955226,0.06753731343283582,0.011567164179104477,0.011194029850746268,0.05858208955223881,0.5145522388059701
CR051,Mixed Immune,0.023980815347721823,0.09352517985611511,0.09112709832134293,0.05275779376498801,0.37170263788968827,0.0671462829736211,0.011990407673860911,0.023980815347721823,0.02158273381294964,0.2422062350119904
CR051,NK-cell enriched,0.009138381201044387,0.018276762402088774,0.0835509138381201,0.06919060052219321,0.033942558746736295,0.5221932114882507,0.01174934725848564,0.028720626631853787,0.05221932114882506,0.17101827676240208
CR051,P53+ Tumor,0,0,0.07142857142857142,0.35714285714285715,0,0,0.07142857142857142,0,0.42857142857142855,0.07142857142857142
CR051,Proliferative Tumor,0.009094846253789519,0.0064963187527068,0.075790385448246,0.27024686011260285,0.01126028583802512,0.04244261585101776,0.017756604590731917,0.0043308791684712,0.49761801645734083,0.06496318752706799
CR051,Stromal,0.012896825396825396,0.017857142857142856,0.022817460317460316,0.016865079365079364,0.031746031746031744,0.03373015873015873,0.005952380952380952,0.003968253968253968,0.005952380952380952,0.8482142857142857
CR052,Bulk Tumor,0.0044772778150884264,0.00693978061338706,0.029997761361092456,0.7253190060443251,0.011864786209984329,0.018580702932616967,0.08126259234385494,0.0022386389075442132,0.07297962838594135,0.04633982538616521
CR052,CD8+ T cell enriched,0.05076055375149547,0.17432917450008545,0.492907195351222,0.0521278413946334,0.051615108528456674,0.04016407451717655,0.009571013501965476,0.012476499743633566,0.012134677832849085,0.10391386087848231
CR052,Immune-enriched stromal,0.033386327503974564,0.07233704292527822,0.0782193958664547,0.12782193958664548,0.0958664546899841,0.0424483306836248,0.016693163751987282,0.021621621621621623,0.015421303656597773,0.4961844197138315
CR052,Mixed Immune,0.07006651884700665,0.14235033259423505,0.07937915742793791,0.07272727272727272,0.34722838137472284,0.0541019955654102,0.010643015521064302,0.016851441241685146,0.0017738359201773836,0.2048780487804878
CR052,NK-cell enriched,0.028409090909090908,0.03125,0.08238636363636363,0.13636363636363635,0.048295454545454544,0.4744318181818182,0.04261363636363636,0.005681818181818182,0.008522727272727272,0.14204545454545456
CR052,P53+ Tumor,0.001280819724623759,0.0035222542427153377,0.03073967339097022,0.26641050272174194,0.005763688760806916,0.024975984630163303,0.4905539545308998,0.001601024655779699,0.1575408261287224,0.01761127121357669
CR052,Proliferative Tumor,6.134969325153375e-4,0.0036809815950920245,0.03680981595092025,0.22699386503067484,0.001226993865030675,0.016564417177914112,0.12699386503067484,0.011656441717791411,0.5411042944785276,0.0343558282208589
CR052,Stromal,0.013303769401330377,0.028824833702882482,0.025129342202512936,0.018477457501847747,0.037694013303769404,0.008499630450849963,0.0040650406504065045,0.006282335550628234,3.695491500369549e-4,0.8573540280857354
CR053,Bulk Tumor,0.0031429099648733593,0.005361434645960436,0.010537992235163616,0.7409872434830838,0.009058975781105564,0.05416897762987613,0.01552967276760954,0.0036975411351451285,0.10630430763542244,0.05121094472176003
CR053,CD8+ T cell enriched,0.03761755485893417,0.2006269592476489,0.38557993730407525,0.034482758620689655,0.07836990595611286,0.10658307210031348,0.012539184952978056,0.0219435736677116,0.034482758620689655,0.0877742946708464
CR053,Immune-enriched stromal,0.037928106425134445,0.059722615341069915,0.03141805830738749,0.16897820549108405,0.05575997735635437,0.08547976224172092,0.013020096235493914,0.03085196716671384,0.05689215963770167,0.45994905179733936
